order_id,date,product,category,quantity,unit_price,city
1001,2026-07-02,Webcam,Acessórios,1,180.0,Fortaleza
1002,2026-07-03,Webcam,Acessórios,3,180.0,Fortaleza
1003,2026-07-04,Mouse,Acessórios,2,85.0,Caucaia
1004,2026-07-05,Notebook,Eletrônicos,1,3200.0,Caucaia
1005,2026-07-06,Monitor,Eletrônicos,1,980.0,Fortaleza
1006,2026-07-07,Notebook,Eletrônicos,2,3200.0,Fortaleza
1007,2026-07-08,Headset,Acessórios,1,210.0,Caucaia
1008,2026-07-09,Mouse,Acessórios,4,85.0,Fortaleza
1009,2026-07-10,Monitor,Eletrônicos,3,980.0,Fortaleza
1010,2026-07-11,Mouse,Acessórios,4,85.0,Itapipoca
1011,2026-07-12,Teclado,Acessórios,2,140.0,Fortaleza
1012,2026-07-13,Teclado,Acessórios,1,140.0,Fortaleza
1013,2026-07-14,Monitor,Eletrônicos,1,980.0,Itapipoca
1014,2026-07-15,Teclado,Acessórios,3,140.0,Fortaleza
1015,2026-07-16,Webcam,Acessórios,4,180.0,Caucaia
1016,2026-07-17,Notebook,Eletrônicos,4,3200.0,Fortaleza
1017,2026-07-18,Headset,Acessórios,3,210.0,Caucaia
1018,2026-07-19,Headset,Acessórios,3,210.0,Caucaia
1019,2026-07-20,Mouse,Acessórios,1,85.0,Fortaleza
1020,2026-07-21,Webcam,Acessórios,2,180.0,Itapipoca
1021,2026-07-22,Notebook,Eletrônicos,2,3200.0,Fortaleza
1022,2026-07-23,Monitor,Eletrônicos,3,980.0,Itapipoca
1023,2026-07-24,Webcam,Acessórios,3,180.0,Fortaleza
1024,2026-07-25,Teclado,Acessórios,3,140.0,Fortaleza
1025,2026-07-26,Webcam,Acessórios,3,180.0,Caucaia
1026,2026-07-27,Webcam,Acessórios,1,180.0,Caucaia
1027,2026-07-28,Webcam,Acessórios,2,180.0,Caucaia
1028,2026-07-01,Webcam,Acessórios,2,180.0,Fortaleza
1029,2026-07-02,Monitor,Eletrônicos,4,980.0,Itapipoca
1030,2026-07-03,Webcam,Acessórios,2,180.0,Caucaia
1031,2026-07-04,Teclado,Acessórios,1,140.0,Fortaleza
1032,2026-07-05,Notebook,Eletrônicos,3,3200.0,Itapipoca
1033,2026-07-06,Teclado,Acessórios,1,140.0,Fortaleza
1034,2026-07-07,Headset,Acessórios,3,210.0,Fortaleza
1035,2026-07-08,Webcam,Acessórios,4,180.0,Itapipoca
1036,2026-07-09,Webcam,Acessórios,4,180.0,Fortaleza
1037,2026-07-10,Teclado,Acessórios,2,140.0,Fortaleza
1038,2026-07-11,Webcam,Acessórios,3,180.0,Caucaia
1039,2026-07-12,Headset,Acessórios,4,210.0,Caucaia
1040,2026-07-13,Monitor,Eletrônicos,3,980.0,Fortaleza
1041,2026-07-14,Mouse,Acessórios,4,85.0,Fortaleza
1042,2026-07-15,Notebook,Eletrônicos,1,3200.0,Fortaleza
1043,2026-07-16,Webcam,Acessórios,2,180.0,Caucaia
1044,2026-07-17,Monitor,Eletrônicos,1,980.0,Itapipoca
1045,2026-07-18,Monitor,Eletrônicos,4,980.0,Caucaia
1046,2026-07-19,Teclado,Acessórios,1,140.0,Caucaia
1047,2026-07-20,Webcam,Acessórios,1,180.0,Caucaia
1048,2026-07-21,Headset,Acessórios,3,210.0,Caucaia
1049,2026-07-22,Teclado,Acessórios,1,140.0,Itapipoca
1050,2026-07-23,Monitor,Eletrônicos,2,980.0,Itapipoca
1051,2026-07-24,Notebook,Eletrônicos,3,3200.0,Caucaia
1052,2026-07-25,Mouse,Acessórios,1,85.0,Caucaia
1053,2026-07-26,Teclado,Acessórios,2,140.0,Fortaleza
1054,2026-07-27,Teclado,Acessórios,2,140.0,Caucaia
1055,2026-07-28,Headset,Acessórios,1,210.0,Caucaia
1056,2026-07-01,Teclado,Acessórios,4,140.0,Fortaleza
1057,2026-07-02,Notebook,Eletrônicos,3,3200.0,Itapipoca
1058,2026-07-03,Mouse,Acessórios,1,85.0,Fortaleza
1059,2026-07-04,Headset,Acessórios,1,210.0,Fortaleza
1060,2026-07-05,Webcam,Acessórios,4,180.0,Fortaleza
