ano_mes,receita,crescimento_pct
2025-01,719396.9345,
2025-02,734897.1545,2.1546130177456213
2025-03,819682.9575,11.537097739572232
2025-04,767108.401,-6.414011175778301
2025-05,756501.7440000001,-1.382680333858044
2025-06,837331.6185,10.684691098345954
2025-07,749118.2875,-10.535053143941441
2025-08,803210.862,7.220832197345062
2025-09,712110.777,-11.341988674450965
2025-10,808428.158,13.525617658220046
2025-11,736539.51,-8.892397832585154
2025-12,769330.7905,4.452073521486977
2026-01,853249.6185,10.908029294584697
2026-02,759608.318,-10.974666553571977
2026-03,782527.801,3.01727646431591
2026-04,900222.5315,15.040325768566532
2026-05,882912.2035,-1.9228943282675548
2026-06,746505.547,-15.449628622105681
2026-07,817137.351,9.461658293612118
